# Rime table
# coding: utf-8
#
# 用於【朙月拼音】系列輸入方案
# 【小狼毫】0.9.21 以上
#
# 請將該文件以UTF-8編碼保存爲
# Rime用戶文件夾/custom_phrase.txt
#
# 碼表各字段以製表符（Tab）分隔
# 順序爲：文字、編碼、權重（決定重碼的次序、可選）
#
# 雖然文本碼表編輯較爲方便，但不適合導入大量條目
#
# no comment

# 符号
⌘	cmd
⌃	ctl
⌥	opt
⇧	shift

# 计算机
GBK	gbk
UTF-8	utf
macOS Big Sur	macos	3
macOS Catalina	macos	2
macOS	macos	1
MacBook Pro	mbp
MacBook	macbook
Apple	apple
Apple ID	apple
Mac	mac
iOS	ios
iMac	imac
iPad	ipad
iPhone	iphone
iPod	ipod
iTunes	itunes
Linux	linux
GitHub	github
IPTV	iptv
IPv4	ipv
IPv6	ipv
Mac App Store	mas
OS X	osx
Wi-Fi	wifi

# 前后端术语
CSS	css
HTML	html
Vue	vue
React	react
React Native	rn
NPM	npm
Yarn	yarn
JavaScript	js
TypeScript	ts
TensorFlow	tf	2
TensorFlow.js	tf	1
WebAssembly	wasm
jQuery	jq
MySQL	mysql
SQL	sql
Objective-C	oc
Ruby	ruby
Rust	rust
Swift	swift
Google Analytics	ga
VS Code	vsc
WebStorm	ws

# 网站
Youku	youku
YouTube	youtube
iCloud	icloud
Dropbox	dropbox
InfoQ	infoq

# 其它
U盘	up
T恤	txu
又双叒叕	yyy
biangbiang面	bbm
WeChat	wechat
